week,district_id,school_id,grade,subject,student_count,proficiency_rate,growth_rate,chronic_absence_rate,assignment_completion_rate
2026-W04,DST001,SCH001,3,ELA,74,0.613,0.566,0.174,0.713
2026-W04,DST001,SCH001,3,Math,66,0.633,0.431,0.207,0.712
2026-W04,DST001,SCH001,3,Science,92,0.588,0.526,0.195,0.744
2026-W04,DST001,SCH001,4,ELA,68,0.681,0.537,0.209,0.541
2026-W04,DST001,SCH001,4,Math,82,0.621,0.567,0.238,0.635
2026-W04,DST001,SCH001,4,Science,77,0.568,0.585,0.194,0.716
2026-W04,DST001,SCH001,5,ELA,62,0.658,0.624,0.24,0.621
2026-W04,DST001,SCH001,5,Math,83,0.522,0.456,0.206,0.764
2026-W04,DST001,SCH001,5,Science,51,0.624,0.597,0.155,0.614
2026-W05,DST001,SCH001,3,ELA,92,0.662,0.629,0.212,0.778
2026-W05,DST001,SCH001,3,Math,80,0.549,0.486,0.268,0.62
2026-W05,DST001,SCH001,3,Science,81,0.663,0.601,0.101,0.686
2026-W05,DST001,SCH001,4,ELA,64,0.601,0.449,0.264,0.618
2026-W05,DST001,SCH001,4,Math,91,0.621,0.505,0.153,0.667
2026-W05,DST001,SCH001,4,Science,64,0.597,0.739,0.195,0.635
2026-W05,DST001,SCH001,5,ELA,68,0.744,0.479,0.205,0.709
2026-W05,DST001,SCH001,5,Math,66,0.605,0.408,0.277,0.557
2026-W05,DST001,SCH001,5,Science,52,0.597,0.389,0.217,0.775
2026-W06,DST001,SCH001,3,ELA,81,0.737,0.458,0.267,0.757
2026-W06,DST001,SCH001,3,Math,75,0.674,0.551,0.164,0.713
2026-W06,DST001,SCH001,3,Science,50,0.594,0.489,0.181,0.738
2026-W06,DST001,SCH001,4,ELA,62,0.64,0.427,0.239,0.587
2026-W06,DST001,SCH001,4,Math,53,0.618,0.48,0.163,0.683
2026-W06,DST001,SCH001,4,Science,59,0.634,0.512,0.165,0.579
2026-W06,DST001,SCH001,5,ELA,59,0.606,0.629,0.184,0.779
2026-W06,DST001,SCH001,5,Math,54,0.614,0.691,0.152,0.685
2026-W06,DST001,SCH001,5,Science,63,0.594,0.585,0.226,0.608
2026-W07,DST001,SCH001,3,ELA,64,0.727,0.617,0.125,0.716
2026-W07,DST001,SCH001,3,Math,105,0.561,0.586,0.186,0.691
2026-W07,DST001,SCH001,3,Science,78,0.622,0.642,0.214,0.582
2026-W07,DST001,SCH001,4,ELA,57,0.649,0.521,0.174,0.65
2026-W07,DST001,SCH001,4,Math,64,0.618,0.493,0.213,0.746
2026-W07,DST001,SCH001,4,Science,68,0.594,0.584,0.212,0.663
2026-W07,DST001,SCH001,5,ELA,89,0.728,0.636,0.129,0.717
2026-W07,DST001,SCH001,5,Math,47,0.558,0.557,0.178,0.691
2026-W07,DST001,SCH001,5,Science,66,0.637,0.414,0.246,0.724
2026-W08,DST001,SCH001,3,ELA,68,0.588,0.592,0.124,0.708
2026-W08,DST001,SCH001,3,Math,77,0.683,0.6,0.211,0.687
2026-W08,DST001,SCH001,3,Science,73,0.574,0.494,0.259,0.659
2026-W08,DST001,SCH001,4,ELA,79,0.636,0.577,0.18,0.767
2026-W08,DST001,SCH001,4,Math,91,0.685,0.608,0.194,0.647
2026-W08,DST001,SCH001,4,Science,94,0.689,0.628,0.112,0.698
2026-W08,DST001,SCH001,5,ELA,57,0.711,0.661,0.286,0.694
2026-W08,DST001,SCH001,5,Math,42,0.62,0.597,0.226,0.612
2026-W08,DST001,SCH001,5,Science,71,0.522,0.742,0.191,0.654
2026-W09,DST001,SCH001,3,ELA,43,0.732,0.602,0.247,0.678
2026-W09,DST001,SCH001,3,Math,68,0.665,0.663,0.167,0.844
2026-W09,DST001,SCH001,3,Science,97,0.703,0.534,0.159,0.706
2026-W09,DST001,SCH001,4,ELA,68,0.652,0.602,0.211,0.701
2026-W09,DST001,SCH001,4,Math,90,0.578,0.59,0.231,0.556
2026-W09,DST001,SCH001,4,Science,81,0.648,0.649,0.276,0.57
2026-W09,DST001,SCH001,5,ELA,77,0.759,0.794,0.234,0.645
2026-W09,DST001,SCH001,5,Math,68,0.641,0.448,0.295,0.425
2026-W09,DST001,SCH001,5,Science,56,0.625,0.491,0.207,0.698
2026-W10,DST001,SCH001,3,ELA,88,0.737,0.648,0.263,0.637
2026-W10,DST001,SCH001,3,Math,68,0.558,0.69,0.277,0.633
2026-W10,DST001,SCH001,3,Science,91,0.462,0.473,0.129,0.73
2026-W10,DST001,SCH001,4,ELA,81,0.63,0.682,0.253,0.666
2026-W10,DST001,SCH001,4,Math,57,0.618,0.622,0.202,0.68
2026-W10,DST001,SCH001,4,Science,86,0.649,0.513,0.257,0.683
2026-W10,DST001,SCH001,5,ELA,62,0.663,0.688,0.128,0.605
